Date,Close/Last,Volume,Open,High,Low
08/18/2023,$316.48,24755010,$314.49,$318.38,$311.5508
08/17/2023,$316.88,21257160,$320.54,$321.87,$316.21
08/16/2023,$320.40,20698860,$320.80,$324.42,$319.8035
08/15/2023,$321.86,16966290,$323.00,$325.09,$320.9034
08/14/2023,$324.04,18836140,$321.39,$324.06,$320.08
08/11/2023,$321.01,24355490,$320.26,$322.41,$319.21
08/10/2023,$322.93,20113730,$326.015,$328.26,$321.18
08/09/2023,$322.23,22373270,$326.47,$327.11,$321.0499
08/08/2023,$326.05,22327570,$326.96,$328.75,$323.00
08/07/2023,$330.11,17741530,$328.37,$331.11,$327.52
08/04/2023,$327.78,23741480,$331.88,$335.14,$327.24
08/03/2023,$326.66,18360350,$326.00,$329.88,$325.95
08/02/2023,$327.50,27761260,$333.63,$333.63,$326.3551
08/01/2023,$336.34,18381250,$335.19,$338.54,$333.70
07/31/2023,$335.92,25446020,$336.92,$337.695,$333.36
07/28/2023,$338.37,28484870,$333.67,$340.01,$333.17
07/27/2023,$330.72,39635260,$340.48,$341.33,$329.05
07/26/2023,$337.77,58383700,$341.44,$344.67,$333.11
07/25/2023,$350.98,41637740,$347.11,$351.89,$345.07
07/24/2023,$345.11,26719210,$345.85,$346.92,$342.31
07/21/2023,$343.77,69405380,$349.15,$350.30,$339.83
07/20/2023,$346.87,33778400,$353.57,$357.97,$345.37
07/19/2023,$355.08,39732900,$361.75,$362.46,$352.435
07/18/2023,$359.49,64872710,$345.83,$366.78,$342.17
07/17/2023,$345.73,20363930,$345.678,$346.99,$342.20
07/14/2023,$345.24,28352730,$347.59,$351.43,$344.31
07/13/2023,$342.66,20567160,$339.56,$343.74,$339.02
07/12/2023,$337.20,29995260,$336.60,$341.652,$335.67
07/11/2023,$332.47,26698220,$331.06,$332.86,$327.00
07/10/2023,$331.83,32791450,$334.60,$335.23,$327.59
07/07/2023,$337.22,21214820,$339.32,$341.79,$337.00
07/06/2023,$341.27,28195530,$337.30,$342.99,$335.50
07/05/2023,$338.15,18172380,$335.09,$341.65,$334.7276
07/03/2023,$337.99,12484240,$339.19,$340.90,$336.571
06/30/2023,$340.54,26832760,$337.75,$342.73,$337.20
06/29/2023,$335.05,16997040,$334.71,$336.11,$332.62
06/28/2023,$335.85,20259520,$334.66,$337.98,$333.81
06/27/2023,$334.57,24354110,$331.86,$336.15,$329.30
